col,n,rho_raw,rho_res,abs_res
gl2_late_d_pts40,271,-0.11081643073136153,-0.1268136271103776,0.1268136271103776
gl2_late_d_gmsc40,271,-0.1016184260318362,-0.12215366943005236,0.12215366943005236
gl2_t50_ppg,267,-0.05151323723404764,-0.12105737005865652,0.12105737005865652
gl2_d50_pts40,267,-0.13740036192569466,-0.12067860172822177,0.12067860172822177
gl2_ncaa_g,277,0.20088215460253983,0.12062238492597127,0.12062238492597127
gl2_d100_pts40,277,-0.0877731645114544,-0.11870636551996992,0.11870636551996992
gl2_d50_fg,267,-0.16285272793997424,-0.11783525499928157,0.11783525499928157
gl2_g_t100,277,0.18289358318251875,0.1166290313176527,0.1166290313176527
gl2_d100_fg3,243,-0.09861138020511258,-0.11625631164250182,0.11625631164250182
gl2_t100_bpg,277,-0.03761680929223771,-0.11475605386076339,0.11475605386076339
gl2_blk40,277,-0.05701826167476932,-0.11420001019944018,0.11420001019944018
gl2_final4,277,0.13309775528709616,0.11369537149500639,0.11369537149500639
gl2_champion,277,0.12135478537312146,0.1124326293762165,0.1124326293762165
gl2_team_ncaa_w,277,0.19310956459533604,0.11219565452321673,0.11219565452321673
gl2_ppg,277,-0.0466237304578109,-0.11124284937574735,0.11124284937574735
gl2_close_gmsc40,272,-0.04980789914608302,-0.10688978647645492,0.10688978647645492
gl2_t50_bpg,267,-0.03074591119332164,-0.10512153787914838,0.10512153787914838
gl2_d50_tov40,267,-0.1183935407787226,-0.10415540653039836,0.10415540653039836
gl2_season_gaps,277,-0.05016543802039858,-0.1023279751229038,0.1023279751229038
gl2_d50_mpg,267,0.15410823363142173,0.10062988667142667,0.10062988667142667
gl2_d100_ast40,277,-0.09858427247973527,-0.09836372396366695,0.09836372396366695
gl2_pase_pos,205,0.12581717164136907,0.09681467766182138,0.09681467766182138
gl2_pts40,277,-0.02158594791813641,-0.09669378977473223,0.09669378977473223
gl2_last10_d_gmsc40,275,-0.05532552948138623,-0.09450425378099554,0.09450425378099554
gl2_late_d_ts,271,-0.07474918784495442,-0.09248066695879402,0.09248066695879402
gl2_t100_gmsc,277,0.037488006170077914,-0.0909969418130163,0.0909969418130163
gl2_final4_car,277,0.10942158387414266,0.0909815935984148,0.0909815935984148
gl2_tier_src_torvik,277,0.10794907032994622,0.0908801367639179,0.0908801367639179
gl2_share_gmsc_below_1sd,277,-0.08138097024090714,-0.08928888555883796,0.08928888555883796
gl2_n_blowout,277,0.16221045701450357,0.08840706700583813,0.08840706700583813
gl2_ncaa_d_mpg,158,0.07548276325681147,0.08690999774282357,0.08690999774282357
gl2_t50_topg,267,-0.0029957496652299287,-0.08600324757927841,0.08600324757927841
gl2_mpg,277,-0.05878350911152174,-0.08477411623794572,0.08477411623794572
gl2_t50_gmsc,267,0.021562137612236024,-0.08350873044601903,0.08350873044601903
gl2_ncaa_d_pts40,158,-0.01992934036444722,-0.0828835362992416,0.0828835362992416
gl2_t50_rpg,267,0.014721034202949315,-0.0825030085837892,0.0825030085837892
gl2_ncaa_d_reb40,158,-0.05545902522247941,-0.08246344942066264,0.08246344942066264
gl2_ncaa_g_car,277,0.11675793433930788,0.08228975083293338,0.08228975083293338
gl2_t100_rpg,277,-0.005421660699160625,-0.08221443751140642,0.08221443751140642
gl2_start_share,277,-0.04197658929122471,-0.07916697305810644,0.07916697305810644
gl2_ncaa_d_ts,158,-0.055746035757705405,-0.07839875946785702,0.07839875946785702
gl2_fg,277,-0.03407583222729832,-0.07712768129879584,0.07712768129879584
gl2_t100_mpg,277,-0.03967329243076087,-0.07520148421198583,0.07520148421198583
gl2_ncaa_w_car,277,0.12243822816641707,0.0751860601933306,0.0751860601933306
gl2_g_t50,277,0.14933001783682262,0.07396462354400901,0.07396462354400901
gl2_n_close,277,0.035540531387110275,0.07292463946664515,0.07292463946664515
gl2_min_share,277,-0.047393906385131884,-0.07274061452807674,0.07274061452807674
gl2_n_seasons,277,-0.12493817998608862,-0.06909896529993131,0.06909896529993131
gl2_box_completeness,277,0.10584166804482806,0.06727538704063468,0.06727538704063468
gl2_gmsc_sd,277,-0.04921466537832563,-0.06623944172870641,0.06623944172870641
gl2_late_d_reb40,271,-0.06413807361701582,-0.06275574101147624,0.06275574101147624
gl2_reb40,277,-0.009933471661367455,-0.06232498912196801,0.06232498912196801
gl2_d50_ast40,267,-0.07089324462332289,-0.061311429334434,0.061311429334434
gl2_absence_blocks,277,0.058994168653255546,0.061306574438669804,0.061306574438669804
gl2_absence_max_len,277,0.058462859503807606,0.05943286152699747,0.05943286152699747
gl2_fg3,248,0.04644374227851141,0.05742006774847347,0.05742006774847347
gl2_n_neutral,277,0.12616171241998997,0.05638773794159495,0.05638773794159495
gl2_t50_mpg,267,-0.003431583346496752,-0.05627877314142263,0.05627877314142263
gl2_blow_d_mpg,263,0.056522812342266526,0.05491417322084588,0.05491417322084588
gl2_missed,277,0.04539901077020727,0.054850418002938175,0.054850418002938175
gl2_d100_stl40,277,-0.04697596591081251,-0.05328345683703842,0.05328345683703842
gl2_gmsc_cv,277,-0.1664425587919607,-0.05290336792134513,0.05290336792134513
gl2_ts,277,-0.0021978493984266523,-0.05265063594553362,0.05265063594553362
gl2_t100_ftr,277,0.008491251273389839,-0.05228391771306853,0.05228391771306853
gl2_late_d_mpg,271,0.015765690915724988,-0.04921097687047232,0.04921097687047232
gl2_seasons_no_archive,277,-0.10900656307076068,-0.048835626595319405,0.048835626595319405
gl2_ncaa_d_ast40,158,-0.03825960953454188,-0.04815875127122629,0.04815875127122629
gl2_champion_car,277,0.05153936511418902,0.04715331038321185,0.04715331038321185
gl2_efg,277,-0.024022849806087983,-0.04702085129934705,0.04702085129934705
gl2_d100_ft,277,0.093520930354228,0.046533436479284866,0.046533436479284866
gl2_neutral_d_gmsc40,161,0.06710135312325548,0.04593224144747903,0.04593224144747903
gl2_d100_reb40,277,-0.02744154545285173,-0.04527876139314483,0.04527876139314483
gl2_tov40,277,0.017079050430033917,-0.0449378265980014,0.0449378265980014
gl2_d50_ftr,267,0.07010511392192546,0.044463198990878,0.044463198990878
gl2_d100_blk40,277,-0.013530852860920711,-0.043365005748980265,0.043365005748980265
gl2_close_mpg,272,-0.026191304977334736,-0.043138258596850235,0.043138258596850235
gl2_avail,277,-0.02420303133289257,-0.03830839584066431,0.03830839584066431
gl2_share_gmsc_above_1sd,277,0.021808899636818528,0.03800949854678992,0.03800949854678992
gl2_t100_topg,277,0.02953049553883912,-0.035330773396496096,0.035330773396496096
gl2_d50_stl40,267,-0.019228070440989366,-0.03371704952308782,0.03371704952308782
gl2_ftr,277,0.021211526572631752,-0.03316744175896432,0.03316744175896432
gl2_gmsc_pg,277,0.07586707338036146,-0.030534887815704265,0.030534887815704265
gl2_gmsc_mean,277,0.07586707338036146,-0.030534887815704265,0.030534887815704265
gl2_avail_car,277,-0.0008668662584890134,-0.02788285657255855,0.02788285657255855
gl2_absence_blocks_car,277,0.006765944456052449,0.024504954956574104,0.024504954956574104
gl2_blow_mpg,263,0.02435148058977824,-0.023965161126046467,0.023965161126046467
gl2_d100_tov40,277,0.0003222630818195591,-0.02363506403027589,0.02363506403027589
gl2_gp_car,277,-0.04984615087340561,-0.022393553119163672,0.022393553119163672
gl2_exp_wins,205,0.05857166906986388,-0.022386266790021443,0.022386266790021443
gl2_close_minus_blow_mpg,258,-0.028988699247249193,-0.021762074844306988,0.021762074844306988
gl2_d50_ft,267,-0.00535015108247459,0.016881850451935253,0.016881850451935253
gl2_last10_d_mpg,275,0.041771250404065347,-0.0163499165909178,0.0163499165909178
gl2_away_minus_home_gmsc40,275,-0.05569560673814537,-0.015913488057635566,0.015913488057635566
gl2_d50_blk40,267,0.02381660492213916,0.015535679381666797,0.015535679381666797
gl2_t50_ftr,267,0.05932857559713143,-0.015499416052633136,0.015499416052633136
gl2_d100_mpg,277,0.062479990424547806,0.01461777516601788,0.01461777516601788
gl2_ft,277,-0.0021234912102830973,-0.014067219275897562,0.014067219275897562
gl2_close_d_mpg,272,-0.01863361936238847,-0.013379704694910774,0.013379704694910774
gl2_ncaa_d_gmsc40,158,0.014552577332606478,-0.011632487967774103,0.011632487967774103
gl2_t50_fg3,226,-0.05723475773576502,-0.011384783782282267,0.011384783782282267
gl2_seed,205,-0.07494558654326242,0.010164363799193258,0.010164363799193258
gl2_d100_ftr,277,-0.00780410815476854,-0.009386537179926551,0.009386537179926551
gl2_best_seed_car,223,-0.09083533486826013,-0.008551826046303666,0.008551826046303666
gl2_t50_ft,267,0.009097876849369142,0.008353685805944843,0.008353685805944843
gl2_d50_reb40,267,0.025472639205638168,0.007814211041162696,0.007814211041162696
gl2_gmsc40,277,0.1261057342339767,0.0066330784295823035,0.0066330784295823035
gl2_dnp_rows,277,-0.03319364332223418,0.005543514863209106,0.005543514863209106
gl2_t100_ft,277,0.039749239918315936,0.005094065818971111,0.005094065818971111
gl2_d50_fg3,226,-0.04344240504241153,-0.004868470914080458,0.004868470914080458
gl2_team_g_car,277,-0.03846698068611604,-0.0022934037338818566,0.0022934037338818566
gl2_t100_fg3,243,-0.005871140981413199,-0.0021110077818672353,0.0021110077818672353
